Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Surface_tension, mN/m",Smiles#1,Smiles#2
III,methyl(triphenyl)phosphanium bromide,2-aminoethanol,0.14,0.86,358.15,44.2,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,methyl(triphenyl)phosphanium bromide,2-aminoethanol,0.17,0.83,298.15,48.9,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,methyl(triphenyl)phosphanium bromide,2-aminoethanol,0.17,0.83,308.15,48,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,methyl(triphenyl)phosphanium bromide,2-aminoethanol,0.17,0.83,318.15,47.2,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,methyl(triphenyl)phosphanium bromide,2-aminoethanol,0.17,0.83,328.15,46.4,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,methyl(triphenyl)phosphanium bromide,2-aminoethanol,0.17,0.83,338.15,45.6,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,methyl(triphenyl)phosphanium bromide,2-aminoethanol,0.17,0.83,348.15,44.8,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,methyl(triphenyl)phosphanium bromide,2-aminoethanol,0.17,0.83,358.15,44,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,methyl(triphenyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.16,0.84,303.15,49.27,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,methyl(triphenyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.16,0.84,308.15,48.85,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
