Type of DES,Component#1,Component#2,X#1,X#2,"T, K",Refractive_index,Smiles#1,Smiles#2
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,303.15,1.4818,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,308.15,1.48065,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,313.15,1.47949,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,323.15,1.4772,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,328.15,1.47604,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,338.15,1.47372,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,343.15,1.47249,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,348.15,1.4713,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,353.15,1.47012,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,293.15,1.46927,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,298.15,1.46792,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,303.15,1.4665,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,313.15,1.46375,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,318.15,1.46233,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,328.15,1.45956,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,333.15,1.45814,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,338.15,1.45675,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,343.15,1.45533,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,293.15,1.48818,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,298.15,1.48713,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,303.15,1.48601,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,313.15,1.48376,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,318.15,1.48264,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,323.15,1.48153,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,328.15,1.48043,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,333.15,1.4793,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,338.15,1.4782,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,348.15,1.47594,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,oxalic acid,0.5,0.5,293.15,1.48765,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,oxalic acid,0.5,0.5,298.15,1.48649,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,oxalic acid,0.5,0.5,308.15,1.48384,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,oxalic acid,0.5,0.5,313.15,1.48252,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,oxalic acid,0.5,0.5,318.15,1.4812,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,oxalic acid,0.5,0.5,323.15,1.47986,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,oxalic acid,0.5,0.5,333.15,1.47722,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,oxalic acid,0.5,0.5,338.15,1.4759,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,oxalic acid,0.5,0.5,343.15,1.47459,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,oxalic acid,0.5,0.5,348.15,1.47329,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,283.15,1.48809,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,285.65,1.4875,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,290.65,1.48632,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,295.65,1.48514,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,298.15,1.48455,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,300.65,1.48396,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,303.15,1.48337,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,305.65,1.48278,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,308.15,1.48218,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,313.15,1.48098,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,315.65,1.4804,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,318.15,1.4798,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,323.15,1.4786,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,325.65,1.47801,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,328.15,1.47741,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,330.65,1.47681,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,333.15,1.47622,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,338.15,1.47504,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,283.15,1.47232,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,288.15,1.47118,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,290.65,1.47063,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,293.15,1.47005,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,295.65,1.46948,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,298.15,1.46889,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,300.65,1.46832,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,303.15,1.46774,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,308.15,1.46641,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,310.65,1.46567,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,315.65,1.46443,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,318.15,1.46379,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,320.65,1.46317,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,323.15,1.46264,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,328.15,1.4613,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,330.65,1.46069,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,333.15,1.4601,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,335.65,1.45951,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,338.15,1.45889,C[N+](C)(C)CCO.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,288.15,1.510123,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,293.15,1.509089,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,295.65,1.508548,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,300.65,1.507533,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,303.15,1.507055,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,305.65,1.506521,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,308.15,1.505983,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,310.65,1.505449,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,315.65,1.504281,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,318.15,1.503695,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,323.15,1.502542,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,325.65,1.501966,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,328.15,1.501408,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,330.65,1.500842,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,335.65,1.499719,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,338.15,1.49916,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2-diol",0.25,0.75,288.15,1.4613,C[N+](C)(C)CCO.[Cl-],CC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2-diol",0.25,0.75,298.15,1.4584,C[N+](C)(C)CCO.[Cl-],CC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2-diol",0.25,0.75,308.15,1.4549,C[N+](C)(C)CCO.[Cl-],CC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2-diol",0.25,0.75,328.15,1.4486,C[N+](C)(C)CCO.[Cl-],CC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,293.15,1.569528,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O
