Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Heat_capacity, J.mol-1.K-1",Smiles#1,Smiles#2
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8923,0.1077,293.15,356,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8923,0.1077,298.15,358,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8923,0.1077,303.15,360,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8923,0.1077,308.15,363,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8923,0.1077,313.15,366,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8923,0.1077,318.15,368,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8711,0.1289,293.15,350,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8711,0.1289,298.15,352,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8711,0.1289,303.15,354,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8711,0.1289,308.15,357,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8711,0.1289,313.15,360,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.8711,0.1289,318.15,362,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.7784,0.2216,293.15,324,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.7784,0.2216,298.15,327,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.7784,0.2216,303.15,329,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.7784,0.2216,308.15,331,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.7784,0.2216,313.15,334,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.7784,0.2216,318.15,336,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.6919,0.3081,293.15,301.6,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.6919,0.3081,298.15,303.4,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.6919,0.3081,303.15,305.3,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.6919,0.3081,308.15,307.3,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.6919,0.3081,313.15,309.4,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.6919,0.3081,318.15,311.5,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5963,0.4037,293.15,276.9,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5963,0.4037,298.15,278.5,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5963,0.4037,303.15,280.1,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5963,0.4037,308.15,281.8,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5963,0.4037,313.15,283.5,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5963,0.4037,318.15,285.3,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5031,0.4969,293.15,252.6,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5031,0.4969,298.15,254.2,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5031,0.4969,303.15,255.7,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5031,0.4969,308.15,257.3,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5031,0.4969,313.15,258.9,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.5031,0.4969,318.15,260.4,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.3847,0.6153,293.15,223.7,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.3847,0.6153,298.15,224.8,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.3847,0.6153,303.15,226,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.3847,0.6153,308.15,227.2,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.3847,0.6153,313.15,228.5,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.3847,0.6153,318.15,229.8,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.2569,0.7431,293.15,190.3,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.2569,0.7431,298.15,191.3,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.2569,0.7431,303.15,192.4,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.2569,0.7431,308.15,193.6,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.2569,0.7431,313.15,194.9,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.2569,0.7431,318.15,196.2,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.1003,0.8997,293.15,146.4,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.1003,0.8997,298.15,147.5,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.1003,0.8997,303.15,148.7,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.1003,0.8997,308.15,150.1,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.1003,0.8997,313.15,151.6,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.1003,0.8997,318.15,153.2,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.0511,0.9489,293.15,129.4,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.0511,0.9489,298.15,131,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.0511,0.9489,303.15,132.6,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.0511,0.9489,308.15,134.3,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.0511,0.9489,313.15,136,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,1-butyl-3-methylpyridin-1-ium tetrafluoroborate,ethanol,0.0511,0.9489,318.15,137.9,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,CCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,314.316,274,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,314.64,275,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,314.966,276,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,315.291,277,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,315.617,277,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,315.942,279,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,316.267,280,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,316.592,280,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,316.918,281,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,317.243,283,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,317.569,284,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,317.894,285,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,318.22,286,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,318.544,288,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,318.87,290,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,319.196,292,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,319.52,294,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,319.846,296,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,320.172,298,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,320.497,304,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,320.822,307,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,321.147,316,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,321.473,322,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,321.798,270,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,322.123,266,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,322.449,264,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,322.774,263,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,323.099,262,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,323.425,261,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,323.75,261,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,324.075,261,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,324.401,260,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,324.726,260,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,325.052,260,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,325.377,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,325.703,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,326.028,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,326.353,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,326.678,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,327.003,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,327.329,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,327.654,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,327.979,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,328.306,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,328.63,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,328.953,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,329.255,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,329.611,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,329.932,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,330.262,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,330.609,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,330.834,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,331.232,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,331.557,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,331.885,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,332.208,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,332.533,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,332.86,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,333.183,259,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,333.509,260,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,333.836,260,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,334.161,260,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,334.485,260,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
III,bis(trifluoromethylsulfonyl)azanide;1-ethyl-3-methylimidazol-3-ium,butan-1-ol,0.145,0.855,334.812,260,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCO
