Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Electrical_conductivity, S.cm-1",lg_Conductivity,Smiles#1,Smiles#2,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.28,0.72,308.15,7.94E-03,-2.100179498,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.28,0.72,313.15,9.28E-03,-2.03231165,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.28,0.72,318.15,1.10E-02,-1.960387618,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.28,0.72,323.15,1.25E-02,-1.901737098,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.28,0.72,328.15,1.43E-02,-1.84375381,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.28,0.72,333.15,1.62E-02,-1.79153177,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.28,0.72,338.15,1.78E-02,-1.75009267,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.28,0.72,343.15,1.94E-02,-1.711817869,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.28,0.72,348.15,2.14E-02,-1.67066315,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.28,0.72,353.15,2.31E-02,-1.636444426,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,298.15,5.43E-03,-2.265280158,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,303.15,6.88E-03,-2.162537829,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,308.15,8.31E-03,-2.080660363,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,313.15,9.49E-03,-2.02291688,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,318.15,1.13E-02,-1.945425245,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,323.15,1.32E-02,-1.881173337,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,328.15,1.48E-02,-1.83064891,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,333.15,1.67E-02,-1.778220743,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,338.15,1.84E-02,-1.735300208,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,343.15,1.99E-02,-1.701146924,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,348.15,2.19E-02,-1.659080207,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,353.15,2.37E-02,-1.625856789,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,298.15,5.66E-03,-2.247106845,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,303.15,6.99E-03,-2.155274372,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,308.15,8.25E-03,-2.08380934,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,313.15,9.70E-03,-2.013273041,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,318.15,1.16E-02,-1.936328946,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,323.15,1.34E-02,-1.872635999,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,328.15,1.51E-02,-1.821425897,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,333.15,1.71E-02,-1.766065203,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,338.15,1.88E-02,-1.726882932,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,343.15,2.03E-02,-1.692803579,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,348.15,2.23E-02,-1.652435822,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.2,0.8,353.15,2.41E-02,-1.618830749,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.3333,0.6667,298.15,4.70E-03,-2.327902142,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.3333,0.6667,303.15,5.65E-03,-2.247951552,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.3333,0.6667,308.15,6.80E-03,-2.167491087,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.3333,0.6667,313.15,8.10E-03,-2.091514981,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.3333,0.6667,318.15,9.60E-03,-2.017728767,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.3333,0.6667,323.15,1.12E-02,-1.950781977,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.3333,0.6667,328.15,1.29E-02,-1.88941029,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.3333,0.6667,333.15,1.48E-02,-1.829738285,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.3333,0.6667,338.15,1.68E-02,-1.774690718,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.3333,0.6667,343.15,1.88E-02,-1.725842151,CC(C)(C)NCCO.Cl,C(CO)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,298.15,7.50E-04,-3.124938737,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,303.15,1.18E-03,-2.929223537,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,308.15,1.64E-03,-2.786482243,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,313.15,2.07E-03,-2.684659523,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,318.15,2.72E-03,-2.566070234,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,323.15,3.38E-03,-2.470954829,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,328.15,3.90E-03,-2.408601449,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,333.15,4.88E-03,-2.311758204,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,338.15,5.75E-03,-2.240030142,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,343.15,6.52E-03,-2.1856858,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,348.15,7.75E-03,-2.110474203,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,353.15,9.11E-03,-2.040529298,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,298.15,6.02E-04,-3.220403509,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,303.15,9.58E-04,-3.018634491,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,308.15,1.04E-03,-2.98254927,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,313.15,1.56E-03,-2.80631897,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,318.15,2.11E-03,-2.675306086,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,323.15,2.64E-03,-2.57888987,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,328.15,3.43E-03,-2.465212641,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,333.15,4.09E-03,-2.388701638,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,338.15,4.92E-03,-2.308388126,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,343.15,5.75E-03,-2.240483241,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,348.15,6.47E-03,-2.188827305,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.25,0.75,353.15,7.10E-03,-2.148741651,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,298.15,4.87E-04,-3.312471039,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,303.15,7.80E-04,-3.107905397,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,308.15,1.10E-03,-2.959002308,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,313.15,1.39E-03,-2.857923539,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,318.15,1.88E-03,-2.726304412,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,323.15,2.36E-03,-2.627640417,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,328.15,2.72E-03,-2.566070234,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,333.15,3.25E-03,-2.488651485,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,338.15,3.96E-03,-2.402085529,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,343.15,4.65E-03,-2.332920795,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,348.15,5.34E-03,-2.272865576,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,353.15,6.10E-03,-2.21502629,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,298.15,6.90E-04,-3.161150909,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,303.15,9.80E-04,-3.008773924,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,308.15,1.34E-03,-2.872895202,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,313.15,1.75E-03,-2.756961951,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,318.15,2.28E-03,-2.642065153,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,323.15,2.93E-03,-2.53313238,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,328.15,3.68E-03,-2.434152181,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,333.15,4.56E-03,-2.341035157,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,338.15,5.56E-03,-2.254925208,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.3333,0.6667,343.15,6.67E-03,-2.175874166,CC(C)(C)NCCO.Cl,C(C(CO)O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,propanedioic acid,0.5,0.5,298.15,1.13E-03,-2.946921557,CC(C)(C)NCCO.Cl,C(C(=O)O)C(=O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,propanedioic acid,0.5,0.5,303.15,1.47E-03,-2.832387327,CC(C)(C)NCCO.Cl,C(C(=O)O)C(=O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,propanedioic acid,0.5,0.5,313.15,2.20E-03,-2.657379957,CC(C)(C)NCCO.Cl,C(C(=O)O)C(=O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,propanedioic acid,0.5,0.5,323.15,3.53E-03,-2.452102282,CC(C)(C)NCCO.Cl,C(C(=O)O)C(=O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,propanedioic acid,0.5,0.5,333.15,4.74E-03,-2.324221658,CC(C)(C)NCCO.Cl,C(C(=O)O)C(=O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,propanedioic acid,0.5,0.5,343.15,6.43E-03,-2.191856574,CC(C)(C)NCCO.Cl,C(C(=O)O)C(=O)O,,,
III,2-(tert-butylamino)ethanol;hydrochloride,propanedioic acid,0.5,0.5,353.15,8.36E-03,-2.077949598,CC(C)(C)NCCO.Cl,C(C(=O)O)C(=O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,298.15,1.99E-03,-2.701146924,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,303.15,2.44E-03,-2.612610174,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,308.15,2.94E-03,-2.531504975,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,313.15,3.55E-03,-2.449894001,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,318.15,4.23E-03,-2.373762315,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,323.15,4.87E-03,-2.312114475,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,328.15,5.63E-03,-2.249800272,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,333.15,6.38E-03,-2.195247398,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,338.15,7.10E-03,-2.1490476,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,343.15,7.92E-03,-2.101274818,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,348.15,8.75E-03,-2.057991947,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrobromide,"propane-1,2,3-triol",0.3333,0.6667,353.15,9.53E-03,-2.020815966,CCN.Br,C(C(CO)O)O,,,
III,ethanamine;hydrochloride,acetamide,0.4,0.6,313.15,6.88E-04,-3.162411562,CCN.Cl,CC(=O)N,,,
III,ethanamine;hydrochloride,urea,0.4,0.6,313.15,3.48E-04,-3.458420756,CCN.Cl,C(=O)(N)N,,,
III,methyl(triphenyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,293.15,6.18E-04,-3.209011525,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O,,,
III,methyl(triphenyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,303.15,1.01E-03,-2.995678626,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O,,,
III,methyl(triphenyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,313.15,1.31E-03,-2.884056823,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O,,,
III,methyl(triphenyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,323.15,1.80E-03,-2.745693668,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O,,,
III,methyl(triphenyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,333.15,2.61E-03,-2.583026827,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O,,,
III,methyl(triphenyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,343.15,2.94E-03,-2.531800414,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O,,,
III,methyl(triphenyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,353.15,3.37E-03,-2.471854922,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,298.15,1.09E-03,-2.961777362,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,303.15,1.60E-03,-2.796423225,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,308.15,1.91E-03,-2.718058067,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,313.15,2.50E-03,-2.601712695,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,318.15,2.96E-03,-2.528121801,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,323.15,3.27E-03,-2.486116814,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,328.15,4.31E-03,-2.365825128,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,333.15,5.13E-03,-2.289967301,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,338.15,5.80E-03,-2.2367967,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,343.15,6.72E-03,-2.172436889,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,348.15,7.37E-03,-2.132414673,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.25,0.75,353.15,8.11E-03,-2.090764997,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,298.15,1.56E-03,-2.807711387,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,303.15,2.19E-03,-2.658961368,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,308.15,2.65E-03,-2.576918042,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,313.15,3.25E-03,-2.488651485,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,318.15,3.86E-03,-2.413637777,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,323.15,4.41E-03,-2.356054087,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,328.15,5.40E-03,-2.268008551,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,333.15,6.22E-03,-2.206139799,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,338.15,7.42E-03,-2.129420539,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,343.15,8.19E-03,-2.086610056,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,348.15,9.07E-03,-2.042201225,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.2,0.8,353.15,1.00E-02,-1.998828985,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
III,methyl(triphenyl)phosphanium bromide,"ethane-1,2-diol",0.1667,0.8333,298.15,1.94E-03,-2.711750774,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,
