Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Electrical_conductivity, S.cm-1",lg_Conductivity,Smiles#1,Smiles#2,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"ethane-1,2-diol",0.3333,0.6667,353.15,1.25E-04,-3.903089987,C(CO)N(CCO)CCO,C(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"ethane-1,2-diol",0.3333,0.6667,363.15,1.49E-04,-3.826813732,C(CO)N(CCO)CCO,C(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2,3-triol",0.3333,0.6667,293.15,5.60E-06,-5.251811973,C(CO)N(CCO)CCO,C(C(CO)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2,3-triol",0.3333,0.6667,303.15,8.90E-06,-5.050609993,C(CO)N(CCO)CCO,C(C(CO)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2,3-triol",0.3333,0.6667,313.15,1.30E-05,-4.886056648,C(CO)N(CCO)CCO,C(C(CO)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2,3-triol",0.3333,0.6667,323.15,2.51E-05,-4.600326279,C(CO)N(CCO)CCO,C(C(CO)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2,3-triol",0.3333,0.6667,333.15,4.46E-05,-4.350665141,C(CO)N(CCO)CCO,C(C(CO)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2,3-triol",0.3333,0.6667,343.15,6.67E-05,-4.175874166,C(CO)N(CCO)CCO,C(C(CO)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2,3-triol",0.3333,0.6667,353.15,8.24E-05,-4.084072788,C(CO)N(CCO)CCO,C(C(CO)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2,3-triol",0.3333,0.6667,363.15,9.45E-05,-4.024568191,C(CO)N(CCO)CCO,C(C(CO)O)O,,,
